regulator,p_value,overlap_genes,n_overlap,fdr
GCSF,1.5388186132751231e-6,"BACH1,CD47,CDCP1,CREM,CTSB,FERMT2,FLNB,FZD5,GBP1,HRH1,LY96,NRG1,PLSCR1,PROS1,SPHK1,STAT1,STAT3,TMEM158",18,2.0667090033362253e-6
IL13,1.5399008260152268e-6,"BHLHE40,CTSB,CTSC,DUSP10,HRH1,IFIT2,JAK2,JUNB,MMP1,PIM1,PPP1R15A,PTGS2,SAMD9,SMAD7,SOCS6,TMEM158,TNFAIP2,TOP1",18,2.0667090033362253e-6
TGFA,9.518062051559346e-5,"BAK1,CLCF1,EHD1,GCH1,HBEGF,ID1,IFIT3,PANX1,PMAIP1,PPP1R15A,PTGS2,RHOB,TMEM158,TNFAIP3,ZNF267",15,1.214221745173802e-4
TGFB3,9.523307805284723e-5,"BHLHE40,CFLAR,CTSB,GABARAPL1,HRH1,MTMR11,NDRG1,NEDD9,NMI,PIM1,PLAUR,RAB31,SMAD7,SPSB1,TNIP1",15,1.214221745173802e-4
BDNF,3.295005983883651e-4,"ARL4D,CDC42EP4,FERMT2,FLNB,GCH1,HBEGF,ID1,IFI16,IFI44,KLF6,PCDH7,PPP1R15A,TNFAIP3,TOP1",14,3.819211481319687e-4
GDNF,3.293356506967803e-4,"ABAT,BHLHE40,CYP2J2,FERMT2,IFI6,IRF1,KLF4,MTMR11,NDRG1,NEDD9,RAB31,SP110,STAT1,STAT2",14,3.819211481319687e-4
GMCSF,3.293356506967803e-4,"ATP6V1B2,BHLHE40,BTN3A1,BTN3A2,CREM,CTSC,GCLM,HBEGF,IFITM2,PARP8,PIM1,SLC25A28,SPHK1,TAPBPL",14,3.819211481319687e-4
IL15,3.295005983883651e-4,"BTN2A2,BTN3A1,CREM,CTDSP2,CTSC,GBP1,GCH1,IFITM1,IL32,NINJ1,PARP8,PIM1,PMAIP1,TNFAIP3",14,3.819211481319687e-4
CXCL12,0.001060677349271443,"ATP9A,BHLHE40,DRAM1,EHD1,IFI6,MVP,NINJ1,PIM1,PLAUR,RHOB,TICAM1,TNC,TNFAIP3",13,0.0011764986035997856
LTA,0.0010611556032468655,"C1S,CARHSP1,EHD1,LYN,MAFB,NAGK,PLAGL2,RHOB,RNF114,SERPINB6,SLC2A6,TMC6,TNIP1",13,0.0011764986035997856
IL3,0.0031665759381036824,"BHLHE40,CFLAR,CTSC,CYLD,HBEGF,IFIT2,KLF6,NECAP2,PIM1,PLSCR1,RNF19B,SLC2A6",12,0.0034360717626231445
IL2,0.021991086016814154,"BHLHE40,BTN3A1,CREM,HBEGF,IFITM1,IL32,PARP8,PIM1,PMAIP1,STAT1",10,0.02336552889286504
