regulator,Molecule.Type,p.value.of.overlap,p_adj,overlap_genes,n_overlap
TGFB1,growth factor,5.14e-12,1.06e-10,"ACP5,AIM2,ATF3,C1R,C1S,CASP1,CBR3,CCL2,CCL5,CCL8,CD40,CD74,CFB,CFH,CIITA,CLU,CTSS,CX3CL1,EDNRA,FAP,GABBR1,GBP1,HLA-DMA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IDO1,IFI27,IFI30,IFIH1,IFIT3,IL15,IL32,IRF1,ISG15,KLF4,MX1,NNMT,PDGFRA,PDLIM4,PLOD2,PML,RSAD2,SAMHD1,SBNO2,SLC12A7,SLC2A3,STAT1,TLR2,TNFRSF14",NA
CSF2,cytokine,2.64e-11,5.12e-10,"ACP5,CASP1,CCL2,CD40,CD74,CEACAM1,CFH,CIITA,CXCL9,FAP,HLA-DMA,HLA-DMB,IDO1,IL15,IL32,JAK2,LAMP3,LY75,LY96,RIPK2,SERPINB9,SLC2A3,TLR2,UBD",NA
IFNW1,cytokine,1.66e-10,3e-9,"CD40,CXCL10,CXCL11,CXCL9,IFIH1,PLAAT4,TLR3",NA
IL17F,cytokine,3.53e-10,6.24e-9,"CCL2,CCL8,CFB,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,HLA-DRB4,IDO1,IL15,IL32,IRF1",NA
IL36G,cytokine,4.85e-10,8.46e-9,"CD74,CX3CL1,CXCL10,CXCL11,CXCL9,IFI35,IL12RB2,IL32,IRF7,ISG15,RSAD2,RTP4,USP18,XAF1",NA
IL2,cytokine,4.9e-10,8.52e-9,"APOBEC3G,ARHGAP25,CASP1,CCL2,CCL5,CD40,CD74,CEACAM1,CXCL10,CXCL9,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IDO1,IL12RB2,IRF1,ISG15,ISG20,JAK2,MX1,NMI,PDLIM4,SERPINB9,SLC2A3,TLR2",NA
PF4,cytokine,6.9e-10,1.17e-8,"CCL2,CPM,IRF1,ISG15,KLF4,LY75,RIGI,RSAD2,STAT1,STAT2,USP18",NA
IL13,cytokine,2.55e-9,4e-8,"ACE2,ACP5,ATF3,CASP1,CASP7,CCL2,CCL5,CCL7,CD40,CTSS,CX3CL1,HLA-DRB5,HSD11B1,IDO1,IFIH1,IL32,KLF4,MAP3K7CL,RIGI,RIPK2,TNS1",NA
IFNA17,cytokine,3.35e-9,5.14e-8,"CXCL10,CXCL11,CXCL9,IFIH1,MX1,PLAAT4",NA
IL21,cytokine,5.76e-9,8.6e-8,"CCL5,CXCL10,CXCL9,HERC6,IDO1,IFIT2,IL12RB2,IRF7,ISG15,RSAD2,STAT2,TAP1,USP18",NA
