regulator,p_adj,n_overlap,overlap_genes
IL11,6.315870671096984e-5,12,"ADAMTS1,CARD16,DKK1,GAST,GPX2,IRF7,ISG15,MX1,MX2,RGCC,S100A4,TIMP1"
IL5,1.2102829530593045e-4,13,"GPX2,IFIT1,IFIT3,IFNK,IRF7,ISG15,MX1,MX2,OAS1,RSAD2,S100A4,TIMP1,TRIM21"
CCL13,1.4651360311985278e-4,9,"IFI6,IFIT1,ISG15,MX1,MX2,OAS1,OAS2,OASL,TIMP1"
CXCL14,3.777127591913007e-4,10,"DKK1,IFIT1,IFITM1,IFNK,IRF7,MX1,RGCC,RSAD2,S100A4,TIMP1"
CCL11,4.2201766614011655e-4,10,"BST2,DKK1,GPX2,IFIT1,IRF7,ISG15,MX1,MX2,OAS2,TIMP1"
LTB,5.88920741891745e-4,10,"CFB,IFIT1,IFITM1,IFNK,IRF7,ISG15,MX1,OAS1,S100A4,TRIM21"
IL33,8.140880313805131e-4,12,"BST2,DKK1,GPX2,IFIT1,IRF7,ISG15,MX1,OAS1,OASL,RSAD2,S100A4,TIMP1"
IL17F,8.949098354037776e-4,9,"IFI6,IFIT1,IFNK,IRF7,ISG15,MX1,OASL,RSAD2,TIMP1"
TNFSF8,0.00107386243797292,9,"CARD16,IFIT3,IRF7,MX1,MX2,OAS2,OASL,RSAD2,TIMP1"
IL24,0.00136688002154363,8,"IFI6,IFNK,IRF7,ISG15,MX1,OAS1,OASL,TIMP1"
FLT3LG,0.0020905594229934,17,"BST2,DDX60,DKK1,IFI35,IFI44L,IFI6,IFIT1,IRF7,ISG15,MX1,OAS1,OAS2,OASL,PNPT1,TRIM21,TRIM69,UBE2L6"
CCL1,0.00217872647874251,7,"IFIT1,IFITM1,IRF7,ISG15,MX1,OAS2,TIMP1"
CCL23,0.00287322622593932,7,"CFB,IFI44L,IFI6,IRF7,MX1,OAS2,TIMP1"
LTA,0.0028906243144297002,9,"CFB,GPX2,IRF7,MX1,OAS2,RSAD2,TIMP1,TRIM21,USP18"
OSM,0.00401881983771952,9,"ADAMTS1,DKK1,GAST,IFI35,IRF7,ISG15,MX1,S100A4,TIMP1"
IL27,0.00609458725453245,7,"IFI35,IFIT1,IFIT3,IRF7,MX1,OAS2,OASL"
TIMP1,0.00700854906182741,12,"ADAMTS1,BST2,CFB,DKK1,GPX2,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,MX1,S100A4"
CCL27,0.00701677445941545,6,"IFIT1,ISG15,MX1,OASL,S100A4,TIMP1"
IL3,0.00987232601634452,10,"BST2,DKK1,GPX2,IFNK,IRF7,ISG15,LY6E,MX1,PARP9,TIMP1"
AREG,0.01422865406366057,10,"ADAMTS1,DKK1,GAST,IFI6,IRF7,ISG15,MX1,RGCC,S100A4,TIMP1"
TNFSF9,0.01435441921552836,6,"IFI35,IFIT3,IRF7,ISG15,MX1,OASL"
TNFSF15,0.01716131629333113,7,"CFB,IFIT1,IFIT3,ISG15,MX1,MX2,TIMP1"
PF4,0.01792955225148529,8,"ADAMTS1,CFB,IFIT3,IRF7,ISG15,MX1,TIMP1,TRIM21"
CCL24,0.01834239082371853,6,"IRF7,ISG15,MX1,MX2,S100A4,TIMP1"
XCL2,0.02138917406234194,6,"IFI44L,IFI6,IFITM1,ISG15,MX1,S100A4"
TNFSF18,0.02376435177111381,5,"IFI35,IFIT3,IFNK,IRF7,OASL"
