Source	Target	Type	Class	FDR_log
CD40LG	CD40LG	Directed	cytokine	107.06803388527183
CD40LG	CD63	Directed	cytokine	107.06803388527183
CD40LG	CD69	Directed	cytokine	107.06803388527183
CD40LG	CD80	Directed	cytokine	107.06803388527183
CD40LG	CD83	Directed	cytokine	107.06803388527183
CD40LG	CD86	Directed	cytokine	107.06803388527183
CD40LG	CD8A	Directed	cytokine	107.06803388527183
CD40LG	CDC25B	Directed	cytokine	107.06803388527183
CD40LG	CDKN1A	Directed	cytokine	107.06803388527183
CD40LG	CELF2	Directed	cytokine	107.06803388527183
CD40LG	CFLAR	Directed	cytokine	107.06803388527183
CD40LG	CFP	Directed	cytokine	107.06803388527183
CD40LG	CIITA	Directed	cytokine	107.06803388527183
CD40LG	CLU	Directed	cytokine	107.06803388527183
CD40LG	CSF1	Directed	cytokine	107.06803388527183
CD40LG	CSF2RA	Directed	cytokine	107.06803388527183
CD40LG	CTSC	Directed	cytokine	107.06803388527183
CD40LG	CXCL1	Directed	cytokine	107.06803388527183
CD40LG	CXCL10	Directed	cytokine	107.06803388527183
CD40LG	CXCL2	Directed	cytokine	107.06803388527183
CD40LG	CXCL5	Directed	cytokine	107.06803388527183
CD40LG	CXCL8	Directed	cytokine	107.06803388527183
CD40LG	CXCR3	Directed	cytokine	107.06803388527183
CD40LG	CXCR4	Directed	cytokine	107.06803388527183
CD40LG	CYTIP	Directed	cytokine	107.06803388527183
CD40LG	DAPP1	Directed	cytokine	107.06803388527183
CD40LG	DUSP5	Directed	cytokine	107.06803388527183
CD40LG	EBI3	Directed	cytokine	107.06803388527183
CD40LG	EGR4	Directed	cytokine	107.06803388527183
CD40LG	EIF2AK2	Directed	cytokine	107.06803388527183
CD40LG	FAS	Directed	cytokine	107.06803388527183
CD40LG	FASLG	Directed	cytokine	107.06803388527183
CD40LG	FCER2	Directed	cytokine	107.06803388527183
CD40LG	FCGR2B	Directed	cytokine	107.06803388527183
CD40LG	FLT1	Directed	cytokine	107.06803388527183
CD40LG	FSCN1	Directed	cytokine	107.06803388527183
CD40LG	G0S2	Directed	cytokine	107.06803388527183
CD40LG	GCH1	Directed	cytokine	107.06803388527183
CD40LG	GPR183	Directed	cytokine	107.06803388527183
CD40LG	GZMB	Directed	cytokine	107.06803388527183
CD40LG	HIF1A	Directed	cytokine	107.06803388527183
CD40LG	HK2	Directed	cytokine	107.06803388527183
