"regulator","ID","type","FDR","count","avg_corr","rc_mean","rc_sd","zscore","pvalue"
"CSF1",11,"cytokine",1.41e-93,184,0.506834098417238,0.359044636622166,0.0145716399149094,10.1422669416815,1.79338883973825e-24
"CSF2",15,"cytokine",1.12e-80,211,0.472819335575928,0.359329150591127,0.0132557881535444,8.56155693424047,5.56767024294772e-18
"CSF3",31,"cytokine",1.4e-36,92,0.451224744079668,0.3615996645178,0.0188001063209639,4.76726450541013,9.3372036960638e-07
"CTF1",122,"cytokine",6.03e-05,13,0.407061037254054,0.360729652108559,0.0661367471318267,0.700539218433971,0.241795310926734
"CX3CL1",109,"cytokine",2.22e-06,34,0.389873908357201,0.361105645239357,0.0355508397214853,0.809214728631501,0.209195822199196
"CXCL1",105,"cytokine",7.05e-07,11,0.558374690217302,0.357019464908338,0.0639687546423127,3.14771213594607,0.000822768282070126
"CXCL10",112,"cytokine",5.99e-06,9,0.510524270636819,0.356339055362872,0.0696742325524647,2.21294457973176,0.0134507333600559
"CXCL12",49,"cytokine",3.18e-19,68,0.450157006888636,0.358633811161296,0.0248073033289947,3.68936496295298,0.000112407259119458
"CXCL13",135,"cytokine",0.00281,5,0.367865849726818,0.360514695951162,0.104315087933604,0.0704706665284633,0.47190952360422
"CXCL16",119,"cytokine",1.72e-05,8,0.553706968752615,0.358295585469424,0.0781911237419391,2.49915046531527,0.00622457204733571
"CXCL5",133,"cytokine",0.00241,6,0.283078808984075,0.377902301681026,0.092483599074943,-1.02530063325187,0.847389321450119
"CXCL8",53,"cytokine",2.91e-17,47,0.448926586413903,0.35742232995269,0.0305088472543991,2.99926954624676,0.00135313884124378
"CXCL9",129,"cytokine",0.00168,5,0.282536121288803,0.360514695951162,0.104315087933604,-0.74752920413576,0.7726279094357
"EBI3",33,"cytokine",1.84e-30,43,0.46599743273736,0.358977748800896,0.033132747019482,3.23002749737401,0.000618891564407353
"EDN1",52,"cytokine",2.5e-17,64,0.454593178057438,0.358586126830529,0.0237770740601291,4.03779922559522,2.69775000119332e-05
"EPO",47,"cytokine",9.96e-20,86,0.422994525034082,0.360405949518128,0.0204972223883037,3.05351497535924,0.00113088716410493
"FASLG",73,"cytokine",8.71e-13,25,0.496885504080795,0.359323444446249,0.0438350280491658,3.13817660799157,0.000850012064461575
"FGF2",81,"growth factor",1.03e-10,95,0.441956526421061,0.36061630428267,0.0206981961247613,3.92982178969129,4.25044211437038e-05
"FLT3LG",45,"cytokine",2.75e-20,41,0.535518496682513,0.357364492317116,0.0312190899816297,5.70657262816528,5.76368661628431e-09
"GDF11",123,"growth factor",0.000208,18,0.42619475722726,0.360242370641057,0.0515487745933677,1.27941715601303,0.100375097806957
"GDF15",130,"growth factor",0.00173,10,0.427615501759038,0.35348174701915,0.0751552919879389,0.986407647139271,0.161966557005416
"GDF2",113,"growth factor",6.21e-06,33,0.390769531808382,0.364718076081927,0.0335380064667975,0.776774127950814,0.218646021726601
"GDF9",142,"growth factor",0.0151,9,0.408237120724113,0.356339055362872,0.0696742325524647,0.744867413102278,0.228175938305093
"GH1",147,"growth factor",0.021,25,0.367358851948751,0.359323444446249,0.0438350280491658,0.183310194155457,0.427277318073514
"GPR15LG",98,"cytokine",5.99e-08,18,0.499299141740981,0.360242370641057,0.0515487745933677,2.69757665816202,0.00349231006308581
"GRN",34,"growth factor",1.74e-26,75,0.449864485779672,0.359414912603069,0.0259013274497059,3.49208253330774,0.000239635066117078
"HMGB1",36,"transcription regulator",9.75e-25,54,0.452488664808515,0.35918026662367,0.0260767061770415,3.57822792308777,0.000172965862359656
"IFNA10",84,"cytokine",1.97e-10,12,0.714607464856195,0.355232086993106,0.0651222110631093,5.51847629244071,1.70975795842912e-08
"IFNA14",83,"cytokine",1.97e-10,12,0.714607464856195,0.355232086993106,0.0651222110631093,5.51847629244071,1.70975795842912e-08
"IFNA16",93,"cytokine",8.4e-10,12,0.714607464856195,0.355232086993106,0.0651222110631093,5.51847629244071,1.70975795842912e-08
"IFNA17",89,"cytokine",3.68e-10,13,0.722118300759887,0.360729652108559,0.0661367471318267,5.4642640335938,2.32415619555193e-08
"IFNA2",9,"cytokine",5.07e-100,166,0.499455691205319,0.360568126517126,0.0155101158320607,8.95464393638508,1.70416917051815e-19
"IFNA21",85,"cytokine",1.97e-10,12,0.714607464856195,0.355232086993106,0.0651222110631093,5.51847629244071,1.70975795842912e-08
"IFNA4",66,"cytokine",1.6e-13,26,0.628684641518973,0.354722706162512,0.0382446446376704,7.16340648349529,3.93482770114272e-13
"IFNA5",86,"cytokine",1.97e-10,12,0.714607464856195,0.355232086993106,0.0651222110631093,5.51847629244071,1.70975795842912e-08
"IFNA6",88,"cytokine",1.97e-10,12,0.714607464856195,0.355232086993106,0.0651222110631093,5.51847629244071,1.70975795842912e-08
