Id	log2FoldChange	padj
ENSG00000105352	3.277	3.99132014779461e-29
ENSG00000105369	2.52	4.0058966341016e-36
ENSG00000105370	1.546	0.000178709117078436
ENSG00000105371	1.101	7.56724758972791e-16
ENSG00000105374	4.889	5.65220792400652e-137
ENSG00000105383	2.323	2.00539776695227e-106
ENSG00000105559	1.121	1.21287332766005e-29
ENSG00000105610	1.06	0.000342706431841787
ENSG00000105639	4.058	2.05907948197975e-177
ENSG00000105641	2.71	7.70356005438225e-37
ENSG00000105642	3.052	1.60906246367312e-39
ENSG00000105755	2.322	9.9475173190568e-81
ENSG00000105771	1.015	4.38626644987733e-50
ENSG00000105835	2.719	9.63285558095052e-92
ENSG00000105851	2.157	2.10863871680097e-69
ENSG00000105939	1.296	3.92153129765964e-80
ENSG00000105963	2.186	3.02588758859616e-82
ENSG00000105967	4.585	2.77332119875778e-114
ENSG00000105976	1.135	2.09902417255174e-20
ENSG00000106066	1.075	2.19668947991721e-28
ENSG00000106089	1.061	1.13440196455346e-24
ENSG00000106100	1.391	8.72265396954545e-86
ENSG00000106266	1.135	2.08375300498507e-31
ENSG00000106366	3.293	4.09548534396716e-46
ENSG00000106392	1.342	5.45214634130176e-28
ENSG00000106397	1.047	1.01542785216366e-52
ENSG00000106526	1.262	4.15526136988398e-44
ENSG00000106560	2.036	4.44621712915952e-64
ENSG00000106565	2.718	9.25332816622308e-48
ENSG00000106588	1.846	1.25156880685204e-88
ENSG00000106605	1.994	3.5131379443637e-75
ENSG00000106683	1.221	3.79694578322621e-59
ENSG00000106785	1.836	3.13204998386244e-75
ENSG00000106803	1.376	1.90497723560298e-70
ENSG00000106868	1.876	1.10827705306968e-59
ENSG00000106948	2.565	4.03080984771896e-103
ENSG00000106952	2.796	7.76533789354545e-97
ENSG00000106991	1.402	5.65125916186115e-58
ENSG00000107020	1.591	9.96679388720197e-66
ENSG00000107099	2.353	2.1728141913766e-76
ENSG00000107159	1.512	9.63987972790597e-07
ENSG00000107201	3.141	1.6421778233815e-87
ENSG00000107249	1.864	5.42193595339812e-50
ENSG00000107263	1.14	1.45479113977057e-29
ENSG00000107290	1.055	7.27509935378711e-28
ENSG00000107447	2.073	2.61176309927688e-06
ENSG00000107551	2.845	5.48829663691442e-68
ENSG00000107738	1.006	6.61073447404376e-26
ENSG00000107742	4.061	3.3673748257867e-137
ENSG00000107937	1.047	1.32816158100985e-73
ENSG00000108039	1.167	3.39744671730056e-59
ENSG00000108106	1.726	4.01646537924069e-35
ENSG00000108342	8.079	2.8249728349309e-92
ENSG00000108387	1.232	2.24378580663544e-29
ENSG00000108518	1.995	6.84304869905351e-93
ENSG00000108622	2.217	1.58313366166228e-94
ENSG00000108639	1.356	7.09412487309214e-41
ENSG00000108669	1.174	9.15380808041785e-43
ENSG00000108679	2.526	4.03150048308198e-81
ENSG00000108688	8.62	1.83022964233285e-82
ENSG00000108691	5.247	1.29365577155673e-184
ENSG00000108700	8.66	1.75182242956871e-236
ENSG00000108702	2.655	2.1893026056901e-13
ENSG00000108771	2.767	1.81739525828866e-87
ENSG00000108798	2.413	1.21668017354539e-77
ENSG00000108819	1.058	1.72157293718643e-44
ENSG00000108829	1.572	4.82173878379706e-89
ENSG00000108950	2.146	2.64571629831623e-100
ENSG00000109205	4.982	9.83378864356518e-23
ENSG00000109320	1.775	4.29885344151399e-78
ENSG00000109321	1.587	9.17886735960148e-17
ENSG00000109471	5.196	3.73857841347098e-45
ENSG00000109511	3.415	7.80971882951939e-19
ENSG00000109861	2.599	3.83074259586583e-77
ENSG00000109943	2.036	1.42226754208372e-74
ENSG00000109971	1.589	6.37851002755862e-70
ENSG00000110031	2.808	1.66690838624842e-97
ENSG00000110047	1.7	1.62369839755318e-68
ENSG00000110057	1.735	1.76146997311909e-43
ENSG00000110077	2.354	2.14456760127666e-78
ENSG00000110203	1.582	5.12497385728753e-07
ENSG00000110218	2.112	1.69828225449438e-83
ENSG00000110324	3.789	2.02891408434017e-127
ENSG00000110446	3.208	3.67349245600087e-109
ENSG00000110448	3.842	6.33531262031322e-138
ENSG00000110665	1.863	2.43515460159594e-48
ENSG00000110680	4.483	1.67580740153402e-25
ENSG00000110697	1.391	1.2024630092761e-39
ENSG00000110719	1.964	1.89457231708903e-44
ENSG00000110756	1.039	1.61670698578906e-35
ENSG00000110848	5.074	7.28285066536335e-121
ENSG00000110876	3.37	3.38939326839953e-114
ENSG00000110934	3.225	2.44247045897075e-126
ENSG00000110944	2.574	3.78597607387175e-82
ENSG00000111012	3.192	2.00655098578306e-52
ENSG00000111181	5.17	5.67794967267805e-125
ENSG00000111224	1.651	1.90259392853883e-48
ENSG00000111229	1.586	2.74092740578852e-79
ENSG00000111252	2.207	2.507245151321e-82
ENSG00000111331	4.088	2.26409568101909e-126
ENSG00000111335	5.214	2.05543314996143e-183
ENSG00000111348	2.471	2.84590837891614e-118
ENSG00000111452	1.018	3.19646269591241e-20
ENSG00000111490	1.402	3.8827329198461e-49
ENSG00000111536	4.085	1.14938038658171e-26
ENSG00000111537	9.517	1.7878918849915e-107
ENSG00000111640	1.167	1.05082491771626e-39
ENSG00000111641	1.01	1.75724322455613e-52
ENSG00000111669	1.188	3.88042170073414e-28
ENSG00000111679	2.248	2.07479010144802e-105
ENSG00000111716	1.36	2.12180243234422e-50
